WHOREGION,FLUSEASON,HEMISPHERE,COUNTRY_AREA_TERRITORY,MMWR_WEEKSTARTDATE,MMWR_YEAR,MMWR_WEEK,RSV
EUR,NH,NH,Russian Federation,2019-09-01,2019,36,0
EUR,NH,NH,Russian Federation,2019-09-08,2019,37,4
EUR,NH,NH,Russian Federation,2019-09-08,2019,37,0
EUR,NH,NH,Russian Federation,2019-09-15,2019,38,0
EUR,NH,NH,Russian Federation,2019-09-15,2019,38,0
EUR,NH,NH,Russian Federation,2019-09-22,2019,39,0
EUR,NH,NH,Russian Federation,2019-09-22,2019,39,0
EUR,NH,NH,Russian Federation,2019-09-29,2019,40,0
EUR,NH,NH,Russian Federation,2019-09-29,2019,40,0
EUR,NH,NH,Russian Federation,2019-10-06,2019,41,0
EUR,NH,NH,Russian Federation,2019-10-06,2019,41,0
EUR,NH,NH,Russian Federation,2019-10-13,2019,42,0
EUR,NH,NH,Russian Federation,2019-10-13,2019,42,0
EUR,NH,NH,Russian Federation,2019-10-20,2019,43,1
EUR,NH,NH,Russian Federation,2019-10-20,2019,43,0
EUR,NH,NH,Russian Federation,2019-10-27,2019,44,0
EUR,NH,NH,Russian Federation,2019-10-27,2019,44,0
EUR,NH,NH,Russian Federation,2019-11-03,2019,45,0
EUR,NH,NH,Russian Federation,2019-11-03,2019,45,2
EUR,NH,NH,Russian Federation,2019-11-10,2019,46,0
EUR,NH,NH,Russian Federation,2019-11-10,2019,46,1
EUR,NH,NH,Russian Federation,2019-11-17,2019,47,0
EUR,NH,NH,Russian Federation,2019-11-17,2019,47,0
EUR,NH,NH,Russian Federation,2019-11-24,2019,48,1
EUR,NH,NH,Russian Federation,2019-11-24,2019,48,0
EUR,NH,NH,Russian Federation,2019-12-01,2019,49,0
EUR,NH,NH,Russian Federation,2019-12-01,2019,49,1
EUR,NH,NH,Russian Federation,2019-12-08,2019,50,1
EUR,NH,NH,Russian Federation,2019-12-08,2019,50,0
EUR,NH,NH,Russian Federation,2019-12-15,2019,51,1
EUR,NH,NH,Russian Federation,2019-12-15,2019,51,0
EUR,NH,NH,Russian Federation,2019-12-22,2019,52,0
EUR,NH,NH,Russian Federation,2019-12-22,2019,52,0
EUR,NH,NH,Russian Federation,2019-12-29,2020,1,0
EUR,NH,NH,Russian Federation,2019-12-29,2020,1,0
EUR,NH,NH,Russian Federation,2020-01-05,2020,2,0
EUR,NH,NH,Russian Federation,2020-01-05,2020,2,2
EUR,NH,NH,Russian Federation,2020-01-12,2020,3,0
EUR,NH,NH,Russian Federation,2020-01-12,2020,3,127
EUR,NH,NH,Russian Federation,2020-01-19,2020,4,3
EUR,NH,NH,Russian Federation,2020-01-19,2020,4,0
EUR,NH,NH,Russian Federation,2020-01-26,2020,5,163
EUR,NH,NH,Russian Federation,2020-01-26,2020,5,1
EUR,NH,NH,Russian Federation,2020-02-02,2020,6,2
EUR,NH,NH,Russian Federation,2020-02-02,2020,6,216
EUR,NH,NH,Russian Federation,2020-02-09,2020,7,194
EUR,NH,NH,Russian Federation,2020-02-09,2020,7,4
EUR,NH,NH,Russian Federation,2020-02-16,2020,8,4
EUR,NH,NH,Russian Federation,2020-02-16,2020,8,196
EUR,NH,NH,Russian Federation,2020-02-23,2020,9,146
EUR,NH,NH,Russian Federation,2020-02-23,2020,9,3
EUR,NH,NH,Russian Federation,2020-03-01,2020,10,3
EUR,NH,NH,Russian Federation,2020-03-01,2020,10,141
EUR,NH,NH,Russian Federation,2020-03-08,2020,11,6
EUR,NH,NH,Russian Federation,2020-03-08,2020,11,0
EUR,NH,NH,Russian Federation,2020-03-15,2020,12,140
EUR,NH,NH,Russian Federation,2020-03-15,2020,12,4
EUR,NH,NH,Russian Federation,2020-03-22,2020,13,9
EUR,NH,NH,Russian Federation,2020-03-22,2020,13,138
EUR,NH,NH,Russian Federation,2020-03-29,2020,14,73
EUR,NH,NH,Russian Federation,2020-03-29,2020,14,2
EUR,NH,NH,Russian Federation,2020-04-05,2020,15,70
EUR,NH,NH,Russian Federation,2020-04-05,2020,15,0
EUR,NH,NH,Russian Federation,2020-04-12,2020,16,1
EUR,NH,NH,Russian Federation,2020-04-12,2020,16,41
EUR,NH,NH,Russian Federation,2020-04-19,2020,17,0
